ParticipantID,TrialNum,Condition,TruePercent,ReportedPercent,AbsError,Log2Error,IndexA,IndexB,Values,TimestampISO
s7iepj,1,UNKNOWN,38,29,9,3.189824558880017,4,1,0.765 0.158 0.142 0.307 0.413 0.442 0.069 0.225,2026-02-24T17:05:10.857Z
s7iepj,2,UNKNOWN,9,8,1,0.16992500144231237,0,2,-0.082 -0.334 -0.909 -0.512 -0.197,2026-02-24T17:05:23.672Z
s7iepj,3,UNKNOWN,57,45,12,3.599912842187128,1,2,0.632 0.184 0.323 0.775 0.556 0.841 0.116,2026-02-24T17:05:36.116Z
s7iepj,4,UNKNOWN,28,20,8,3.0223678130284544,0,1,0.283 0.08 0.51 0.324 0.978 0.617,2026-02-24T17:08:49.519Z
s7iepj,5,UNKNOWN,14,10,4,2.0443941193584534,3,4,0.81 0.99 0.135 0.438 0.061 0.151,2026-02-24T17:09:08.228Z
s7iepj,6,UNKNOWN,35,44,9,3.189824558880017,3,1,0.089 0.225 0.69 0.647 0.847 0.225,2026-02-24T17:09:15.255Z
s7iepj,7,UNKNOWN,66,48,18,4.1799090900149345,4,9,0.467 -0.455 -0.599 -0.964 -0.366 -0.942 -0.967 0.565 -0.896 -0.557,2026-02-24T17:09:25.987Z
s7iepj,8,UNKNOWN,98,85,13,3.7142455176661224,3,6,0.666 0.947 0.155 0.825 0.836 0.968 0.842,2026-02-24T17:09:37.104Z
s7iepj,9,UNKNOWN,84,50,34,5.092757140919852,7,4,0.233 0.172 -0.552 0.389 -0.51 -0.898 0.791 0.604,2026-02-24T17:09:42.606Z
s7iepj,10,UNKNOWN,10,15,5,2.357552004618084,5,2,0.212 0.079 0.086 0.137 0.615 0.884 0.116 0.14 0.134 0.691,2026-02-24T17:09:49.905Z
s7iepj,11,UNKNOWN,15,16,1,0.16992500144231237,1,3,0.2 0.935 0.713 0.144 0.388 0.215,2026-02-24T17:09:55.987Z
s7iepj,12,UNKNOWN,8,10,2,1.0874628412503393,1,2,0.555 -0.895 0.07 0.95 -0.322,2026-02-24T17:10:04.967Z
s7iepj,13,UNKNOWN,44,36,8,3.0223678130284544,3,2,0.41 0.552 0.359 0.158 0.942 0.144,2026-02-24T17:10:13.589Z
s7iepj,14,UNKNOWN,65,62,3,1.6438561897747248,0,5,-0.468 -0.126 0.245 0.399 -0.512 -0.718,2026-02-24T17:10:20.638Z
s7iepj,15,UNKNOWN,93,96,3,1.6438561897747248,1,0,-0.447 -0.479 0.705 -0.334 -0.172 0.947,2026-02-24T17:10:31.722Z
s7iepj,16,UNKNOWN,58,61,3,1.6438561897747248,6,2,0.436 0.902 0.243 0.558 0.51 0.977 0.416 0.267,2026-02-24T17:10:42.075Z
s7iepj,17,UNKNOWN,67,69,2,1.0874628412503393,5,1,0.113 0.762 0.545 0.25 0.978 0.509 0.9 0.186,2026-02-24T17:10:53.883Z
s7iepj,18,UNKNOWN,79,41,38,5.252665432450248,6,2,0.791 0.165 0.75 0.336 0.198 0.959 0.594 0.229 0.89,2026-02-24T17:11:02.393Z
s7iepj,19,UNKNOWN,56,38,18,4.1799090900149345,4,9,0.237 0.956 0.786 0.399 0.365 0.664 0.327 0.532 0.252 0.648,2026-02-24T17:11:12.257Z
s7iepj,20,UNKNOWN,45,26,19,4.257387842692652,3,2,0.401 0.521 0.141 0.314 0.571 0.921 0.667 0.084 0.675,2026-02-24T17:11:22.380Z
s7iepj,21,UNKNOWN,65,53,12,3.599912842187128,8,5,0.326 0.669 0.16 0.274 0.946 0.976 0.749 0.487 0.638 0.591,2026-02-24T17:11:37.129Z
s7iepj,22,UNKNOWN,63,21,42,5.396604781181859,1,4,0.92 0.203 0.923 0.144 0.127 0.065 0.258 0.489 0.058,2026-02-24T17:11:44.228Z
s7iepj,23,UNKNOWN,79,82,3,1.6438561897747248,9,8,0.332 0.543 0.077 0.805 0.179 0.964 0.512 0.647 0.453 0.575,2026-02-24T17:11:54.851Z
s7iepj,24,UNKNOWN,41,22,19,4.257387842692652,8,7,0.122 0.805 0.912 0.149 0.617 0.676 0.265 0.182 0.446,2026-02-24T17:12:03.570Z
s7iepj,25,UNKNOWN,61,48,13,3.7142455176661224,5,1,0.374 0.151 0.29 0.173 0.541 0.249 0.693,2026-02-24T17:12:11.586Z
s7iepj,26,UNKNOWN,70,60,10,3.3398500028846247,2,6,-0.98 0.353 0.38 -0.427 -0.503 0.435 0.545 -0.591 -0.486,2026-02-24T17:12:21.634Z
s7iepj,27,UNKNOWN,95,92,3,1.6438561897747248,4,5,-0.263 0.712 -0.727 0.941 0.597 0.569,2026-02-24T17:12:31.012Z
s7iepj,28,UNKNOWN,64,23,41,5.361943773735241,4,2,0.209 0.871 0.361 0.474 0.56 0.635 0.958 0.695,2026-02-24T17:12:40.902Z
s7iepj,29,UNKNOWN,27,23,4,2.0443941193584534,6,2,0.198 0.322 0.73 0.946 0.481 0.412 0.196 0.179,2026-02-24T17:12:48.128Z
s7iepj,30,UNKNOWN,34,32,2,1.0874628412503393,1,6,0.57 0.776 0.727 0.473 0.973 0.157 0.265 0.529 0.192 0.454,2026-02-24T17:12:55.975Z
s7iepj,31,UNKNOWN,24,19,5,2.357552004618084,2,3,0.577 0.253 0.215 0.909 0.772 0.55 0.58,2026-02-24T17:13:07.723Z
s7iepj,32,UNKNOWN,41,21,20,4.330916878114617,4,1,0.85 0.268 0.841 0.869 0.647 0.115 0.205,2026-02-24T17:13:14.717Z
s7iepj,33,UNKNOWN,58,44,14,3.820178962415188,2,5,-0.06 -0.71 -0.186 -0.193 -0.866 -0.322 0.893 -0.825 -0.995,2026-02-24T17:13:26.699Z
s7iepj,34,UNKNOWN,32,22,10,3.3398500028846247,4,9,0.744 -0.062 0.314 0.997 -0.272 0.867 0.837 0.332 -0.168 -0.849,2026-02-24T17:13:33.523Z
s7iepj,35,UNKNOWN,80,73,7,2.8328900141647417,4,9,0.866 0.603 0.48 0.447 0.241 0.974 0.051 0.765 0.958 0.3,2026-02-24T17:13:41.407Z
s7iepj,36,UNKNOWN,79,71,8,3.0223678130284544,2,4,-0.845 0.889 -0.598 -0.764 0.756,2026-02-24T17:13:50.332Z
s7iepj,37,UNKNOWN,23,7,16,4.011227255423254,0,4,0.179 0.67 0.225 0.525 0.787 0.462 0.385 0.553,2026-02-24T17:13:58.353Z
s7iepj,38,UNKNOWN,13,14,1,0.16992500144231237,2,4,0.214 0.471 0.124 0.083 0.957 0.35 0.948,2026-02-24T17:14:05.056Z
s7iepj,39,UNKNOWN,78,71,7,2.8328900141647417,2,8,0.055 -0.657 -0.644 0.285 0.907 -0.243 0.832 -0.353 -0.827,2026-02-24T17:14:12.740Z
s7iepj,40,UNKNOWN,97,92,5,2.357552004618084,0,4,0.763 0.629 0.752 0.412 0.74 0.433 0.293 0.535,2026-02-24T17:14:20.774Z
s7iepj,41,UNKNOWN,48,56,8,3.0223678130284544,0,1,0.464 0.972 0.912 0.404 0.598 0.407,2026-02-24T17:14:30.404Z
s7iepj,42,UNKNOWN,36,44,8,3.0223678130284544,1,4,0.729 0.304 0.515 0.588 0.833,2026-02-24T17:14:43.650Z
s7iepj,43,UNKNOWN,63,46,17,4.098032082960526,0,2,-0.528 0.902 0.844 -0.662 0.679 0.474,2026-02-24T17:14:51.178Z
s7iepj,44,UNKNOWN,81,68,13,3.7142455176661224,2,5,0.253 0.807 0.758 0.299 0.231 0.939,2026-02-24T17:15:01.055Z
s7iepj,45,UNKNOWN,48,48,0,0,6,0,0.275 0.705 0.865 0.422 0.152 0.632 0.133 0.502 0.133,2026-02-24T17:15:09.860Z
s7iepj,46,UNKNOWN,17,22,5,2.357552004618084,4,5,0.765 0.382 0.518 0.08 0.169 0.98 0.217 0.723,2026-02-24T17:15:17.528Z
s7iepj,47,UNKNOWN,17,13,4,2.0443941193584534,4,5,0.765 0.382 0.518 0.08 0.169 0.98 0.217 0.723,2026-02-24T17:15:24.977Z
s7iepj,48,UNKNOWN,17,19,2,1.0874628412503393,1,3,-0.559 -0.854 -0.151 -0.142 0.434 0.188 0.539 -0.782 0.807,2026-02-24T17:15:34.214Z
s7iepj,49,UNKNOWN,99,100,1,0.16992500144231237,1,2,-0.768 0.157 0.155 -0.124 0.34 0.859,2026-02-24T17:15:40.087Z
s7iepj,50,UNKNOWN,47,30,17,4.098032082960526,0,4,0.339 0.937 0.305 -0.248 0.726 -0.649,2026-02-24T17:15:46.964Z
s7iepj,51,UNKNOWN,56,59,3,1.6438561897747248,3,4,0.154 0.24 0.293 0.381 0.686,2026-02-24T17:15:55.250Z
s7iepj,52,UNKNOWN,12,10,2,1.0874628412503393,2,4,0.73 0.237 0.663 0.386 0.077 0.61 0.501,2026-02-24T17:16:01.155Z
s7iepj,53,UNKNOWN,78,80,2,1.0874628412503393,6,5,0.112 0.945 0.899 0.747 0.67 0.561 0.436 0.308,2026-02-24T17:16:08.271Z
s7iepj,54,UNKNOWN,31,25,6,2.6147098441152083,4,1,0.808 0.813 0.423 0.73 0.253,2026-02-24T17:16:19.454Z
s7iepj,55,UNKNOWN,74,70,4,2.0443941193584534,3,0,0.799 0.362 0.205 0.591 0.392 0.516 0.526 0.567 0.509 0.334,2026-02-24T17:16:25.312Z
s7iepj,56,UNKNOWN,88,79,9,3.189824558880017,1,0,0.727 0.64 0.887 -0.592 -0.077 -0.822 0.445 0.55,2026-02-24T17:16:30.546Z
s7iepj,57,UNKNOWN,54,51,3,1.6438561897747248,0,6,0.543 0.316 0.492 0.879 0.892 0.992 0.293 0.734,2026-02-24T17:16:39.695Z
s7iepj,58,UNKNOWN,67,75,8,3.0223678130284544,0,2,-0.516 0.345 -0.769 -0.955 -0.49 0.09 0.209 0.352 0.162 -0.688,2026-02-24T17:16:48.791Z
s7iepj,59,UNKNOWN,13,21,8,3.0223678130284544,8,4,0.526 0.547 -0.124 0.78 -0.982 -0.731 0.385 -0.903 0.13 0.833,2026-02-24T17:16:55.839Z
s7iepj,60,UNKNOWN,99,96,3,1.6438561897747248,4,5,0.949 0.726 0.902 0.821 0.678 0.67 0.827,2026-02-24T17:17:02.998Z
s7iepj,61,UNKNOWN,52,47,5,2.357552004618084,8,5,-0.787 0.35 -0.323 -0.414 -0.989 -0.671 0.127 -0.226 0.348 0.291,2026-02-24T17:17:10.550Z
