,ParticipantID,TrialNum,TruePercent,ReportedPercent,AbsError,Log2Error,ChartType
97,8u83fh,34,60,39,21,4.400879436282184,Diverging
98,8u83fh,35,65,72,7,2.8328900141647417,Diverging
99,8u83fh,36,35,35,0,0.0,Diverging
100,8u83fh,37,49,59,10,3.3398500028846247,Diverging
101,8u83fh,38,71,79,8,3.0223678130284544,Diverging
102,8u83fh,39,96,95,1,0.1699250014423123,Diverging
103,8u83fh,40,59,80,21,4.400879436282184,Diverging
104,8u83fh,41,84,90,6,2.6147098441152083,Stacked
105,8u83fh,42,33,37,4,2.0443941193584534,Stacked
106,8u83fh,43,75,74,1,0.1699250014423123,Stacked
107,8u83fh,44,70,81,11,3.4757334309663976,Stacked
108,8u83fh,45,91,90,1,0.1699250014423123,Stacked
109,8u83fh,46,15,15,0,0.0,Stacked
110,8u83fh,47,7,6,1,0.1699250014423123,Stacked
111,8u83fh,48,99,92,7,2.8328900141647417,Stacked
112,8u83fh,49,60,73,13,3.7142455176661215,Stacked
113,8u83fh,50,19,20,1,0.1699250014423123,Stacked
114,8u83fh,51,24,24,0,0.0,Stacked
115,8u83fh,52,55,61,6,2.6147098441152083,Stacked
116,8u83fh,53,48,46,2,1.087462841250339,Stacked
117,8u83fh,54,41,54,13,3.7142455176661215,Stacked
118,8u83fh,55,90,91,1,0.1699250014423123,Stacked
119,8u83fh,56,28,31,3,1.6438561897747248,Stacked
120,8u83fh,57,77,72,5,2.357552004618084,Stacked
121,8u83fh,58,61,66,5,2.357552004618084,Stacked
122,8u83fh,59,84,85,1,0.1699250014423123,Stacked
123,8u83fh,60,93,94,1,0.1699250014423123,Stacked
124,8u83fh,61,97,98,1,0.1699250014423123,Stacked
125,9fxeks,1,21,19,2,1.087462841250339,Normal
126,9fxeks,2,67,77,10,3.3398500028846247,Normal
127,9fxeks,3,32,29,3,1.6438561897747248,Normal
128,9fxeks,4,58,47,11,3.4757334309663976,Normal
129,9fxeks,5,24,34,10,3.3398500028846247,Normal
130,9fxeks,6,38,29,9,3.189824558880017,Normal
131,9fxeks,7,75,89,14,3.820178962415188,Normal
132,9fxeks,8,61,88,27,4.76155123244448,Normal
133,9fxeks,9,42,43,1,0.1699250014423123,Normal
134,9fxeks,10,30,15,15,3.918863237274594,Normal
135,9fxeks,11,67,78,11,3.4757334309663976,Normal
136,9fxeks,12,53,29,24,4.592457037268081,Normal
137,9fxeks,13,19,25,6,2.6147098441152083,Normal
138,9fxeks,14,61,74,13,3.7142455176661215,Normal
139,9fxeks,15,27,41,14,3.820178962415188,Normal
140,9fxeks,16,18,20,2,1.087462841250339,Normal
141,9fxeks,17,94,84,10,3.3398500028846247,Normal
142,9fxeks,18,72,72,0,0.0,Normal
143,9fxeks,19,46,40,6,2.6147098441152083,Normal
144,9fxeks,20,83,78,5,2.357552004618084,Normal
145,9fxeks,21,88,79,9,3.189824558880017,Diverging
146,9fxeks,22,64,72,8,3.0223678130284544,Diverging
147,9fxeks,23,88,75,13,3.7142455176661215,Diverging
148,9fxeks,24,33,41,8,3.0223678130284544,Diverging
149,9fxeks,25,72,66,6,2.6147098441152083,Diverging
150,9fxeks,26,76,84,8,3.0223678130284544,Diverging
151,9fxeks,27,35,21,14,3.820178962415188,Diverging
152,9fxeks,28,42,39,3,1.6438561897747248,Diverging
153,9fxeks,29,36,58,22,4.467605550082998,Diverging
154,9fxeks,30,100,90,10,3.3398500028846247,Diverging
155,9fxeks,31,13,24,11,3.4757334309663976,Diverging
156,9fxeks,32,13,11,2,1.087462841250339,Diverging
157,9fxeks,33,46,80,34,5.092757140919852,Diverging
158,9fxeks,34,55,77,22,4.467605550082998,Diverging
159,9fxeks,35,87,95,8,3.0223678130284544,Diverging
160,9fxeks,36,83,88,5,2.357552004618084,Diverging
161,9fxeks,37,14,33,19,4.257387842692652,Diverging
162,9fxeks,38,33,25,8,3.0223678130284544,Diverging
163,9fxeks,39,33,20,13,3.7142455176661215,Diverging
164,9fxeks,40,80,77,3,1.6438561897747248,Diverging
165,9fxeks,41,54,72,18,4.179909090014935,Stacked
166,9fxeks,42,14,23,9,3.189824558880017,Stacked
167,9fxeks,43,31,35,4,2.0443941193584534,Stacked
168,9fxeks,44,6,11,5,2.357552004618084,Stacked
169,9fxeks,45,47,36,11,3.4757334309663976,Stacked
170,9fxeks,46,70,71,1,0.1699250014423123,Stacked
171,9fxeks,47,49,40,9,3.189824558880017,Stacked
172,9fxeks,48,39,44,5,2.357552004618084,Stacked
173,9fxeks,49,69,80,11,3.4757334309663976,Stacked
174,9fxeks,50,41,34,7,2.8328900141647417,Stacked
175,9fxeks,51,44,43,1,0.1699250014423123,Stacked
176,9fxeks,52,20,27,7,2.8328900141647417,Stacked
177,9fxeks,53,8,31,23,4.531381460516312,Stacked
178,9fxeks,54,8,17,9,3.189824558880017,Stacked
179,9fxeks,55,88,84,4,2.0443941193584534,Stacked
180,9fxeks,56,58,40,18,4.179909090014935,Stacked
181,9fxeks,57,97,82,15,3.918863237274594,Stacked
182,9fxeks,58,86,95,9,3.189824558880017,Stacked
183,9fxeks,59,30,27,3,1.6438561897747248,Stacked
184,9fxeks,60,90,83,7,2.8328900141647417,Stacked
