ParticipantID,TrialNum,Condition,TruePercent,ReportedPercent,AbsError,Log2Error,IndexA,IndexB,Values,TimestampISO
pnotmt,1,UNKNOWN,96,82,14,3.820178962,1,2,0.964 0.957 0.997 0.214 0.735,2026-02-24T18:29:52.225Z
pnotmt,2,UNKNOWN,48,43,5,2.357552005,1,5,0.465 0.322 0.977 0.298 -0.708 0.666,2026-02-24T18:29:58.206Z
pnotmt,3,UNKNOWN,86,91,5,2.357552005,4,5,0.875 0.994 0.612 0.795 0.264 0.306,2026-02-24T18:30:04.758Z
pnotmt,4,UNKNOWN,86,90,4,2.044394119,0,1,0.717 0.619 0.082 0.175 0.334 0.831 0.904 0.925,2026-02-24T18:30:09.190Z
pnotmt,5,UNKNOWN,66,39,27,4.761551232,0,2,0.63 0.501 0.961 0.554 0.977,2026-02-24T18:30:13.874Z
pnotmt,6,UNKNOWN,59,50,9,3.189824559,7,3,-0.186 -0.175 -0.402 -0.214 -0.551 -0.391 0.7 -0.127 0.726,2026-02-24T18:30:46.297Z
pnotmt,7,UNKNOWN,80,82,2,1.087462841,0,3,-0.588 -0.063 0.172 0.733 -0.126,2026-02-24T18:30:50.363Z
pnotmt,8,UNKNOWN,86,82,4,2.044394119,5,4,0.512 0.646 0.864 0.985 0.858 0.995 0.222 0.182 0.287 0.752,2026-02-24T18:30:54.974Z
pnotmt,9,UNKNOWN,12,11,1,0.169925001,3,4,0.472 0.155 0.5 0.627 0.078 0.404 0.831 0.975 0.514,2026-02-24T18:31:09.960Z
pnotmt,10,UNKNOWN,93,82,11,3.475733431,0,4,0.692 0.62 0.735 0.51 0.645,2026-02-24T18:31:17.396Z
pnotmt,11,UNKNOWN,55,50,5,2.357552005,6,5,-0.119 0.692 0.501 -0.577 -0.583 0.129 -0.236 -0.312 0.223 -0.509,2026-02-24T18:31:20.805Z
pnotmt,12,UNKNOWN,58,82,24,4.592457037,2,5,-0.858 0.704 -0.51 0.496 -0.702 -0.879 -0.23 0.212,2026-02-24T18:31:36.878Z
pnotmt,13,UNKNOWN,16,19,3,1.64385619,2,3,0.918 0.593 0.133 0.855 0.173 0.752,2026-02-24T18:31:39.910Z
pnotmt,14,UNKNOWN,42,36,6,2.614709844,5,2,0.522 0.953 0.254 0.688 0.906 0.603 0.773 0.175,2026-02-24T18:31:47.484Z
pnotmt,15,UNKNOWN,15,28,13,3.714245518,6,4,0.464 0.222 0.452 0.938 0.099 0.627 0.669 0.88 0.159 0.411,2026-02-24T18:32:05.496Z
pnotmt,16,UNKNOWN,8,15,7,2.832890014,5,3,0.243 0.634 0.086 0.641 0.535 0.051,2026-02-24T18:32:08.635Z
pnotmt,17,UNKNOWN,36,37,1,0.169925001,0,1,0.319 0.891 0.17 0.635 0.406 0.317 0.399 0.164 0.602,2026-02-24T18:32:11.549Z
pnotmt,18,UNKNOWN,94,75,19,4.257387843,6,1,0.294 -0.735 0.978 -0.459 -0.269 0.356 0.69,2026-02-24T18:32:19.658Z
pnotmt,19,UNKNOWN,33,46,13,3.714245518,3,0,0.805 0.989 0.81 0.265 0.415,2026-02-24T18:32:24.479Z
pnotmt,20,UNKNOWN,35,24,11,3.475733431,2,5,-0.432 -0.874 0.214 -0.183 -0.918 -0.61 0.535 0.222,2026-02-24T18:33:09.755Z
pnotmt,21,UNKNOWN,50,50,0,0,0,5,0.482 -0.977 0.73 -0.452 -0.893 -0.963 0.773 0.525,2026-02-24T18:33:12.234Z
pnotmt,22,UNKNOWN,16,24,8,3.022367813,5,2,0.443 0.057 0.128 0.07 -0.076 -0.794 -0.432,2026-02-24T18:33:15.513Z
pnotmt,23,UNKNOWN,79,45,34,5.092757141,5,6,0.309 0.099 0.977 0.961 0.328 0.469 0.59 0.604,2026-02-24T18:33:43.880Z
pnotmt,24,UNKNOWN,59,86,27,4.761551232,0,5,0.187 0.947 0.116 0.29 0.476 0.111 0.905,2026-02-24T18:33:46.796Z
pnotmt,25,UNKNOWN,94,90,4,2.044394119,0,2,0.653 -0.483 0.696 0.061 -0.629 0.662,2026-02-24T18:34:29.966Z
pnotmt,26,UNKNOWN,83,88,5,2.357552005,6,5,0.63 0.962 0.59 0.853 0.966 0.673 0.81 0.483 0.568 0.896,2026-02-24T18:34:32.590Z
pnotmt,27,UNKNOWN,77,92,15,3.918863237,3,0,0.367 0.2 0.891 0.282 0.755 0.253 0.105,2026-02-24T18:34:35.235Z
pnotmt,28,UNKNOWN,11,15,4,2.044394119,4,1,0.195 0.655 0.968 0.244 0.072,2026-02-24T18:34:38.036Z
pnotmt,29,UNKNOWN,13,13,0,0,0,6,0.115 0.43 0.221 0.551 0.458 0.647 0.917 0.695,2026-02-24T18:34:41.209Z
pnotmt,30,UNKNOWN,44,55,11,3.475733431,1,3,0.515 0.893 0.919 0.393 0.433,2026-02-24T18:34:46.057Z
pnotmt,31,UNKNOWN,93,97,4,2.044394119,1,3,0.687 0.441 0.325 0.409 0.922 0.147 0.241 0.991,2026-02-24T18:34:48.598Z
pnotmt,32,UNKNOWN,86,90,4,2.044394119,6,7,0.71 -0.445 -0.247 -0.981 -0.712 -0.675 -0.97 -0.839 -0.943 -0.686,2026-02-24T18:34:51.103Z
pnotmt,33,UNKNOWN,24,34,10,3.339850003,1,4,0.683 0.873 0.461 0.644 0.206,2026-02-24T18:34:53.840Z
pnotmt,34,UNKNOWN,46,50,4,2.044394119,4,3,0.091 0.688 0.935 0.223 0.489,2026-02-24T18:34:56.550Z
pnotmt,35,UNKNOWN,74,83,9,3.189824559,3,5,-0.477 -0.148 -0.442 -0.618 0.584 -0.459,2026-02-24T18:34:59.298Z
pnotmt,36,UNKNOWN,7,18,11,3.475733431,3,4,0.128 0.725 0.218 0.752 0.053 0.928 0.168 0.125,2026-02-24T18:35:02.334Z
pnotmt,37,UNKNOWN,45,50,5,2.357552005,3,1,0.423 0.368 0.766 0.164 0.848,2026-02-24T18:35:16.692Z
pnotmt,38,UNKNOWN,30,40,10,3.339850003,2,3,0.321 0.583 0.163 0.539 0.532 0.59 0.733 0.266,2026-02-24T18:35:19.716Z
pnotmt,39,UNKNOWN,88,86,2,1.087462841,5,1,-0.775 -0.541 0.33 0.88 0.476 -0.614 -0.396,2026-02-24T18:35:23.020Z
pnotmt,40,UNKNOWN,56,68,12,3.599912842,4,2,-0.619 -0.448 -0.833 0.126 0.464,2026-02-24T18:35:26.182Z
pnotmt,41,UNKNOWN,79,72,7,2.832890014,5,2,0.613 0.459 0.878 0.088 0.623 0.698 0.098 0.084 0.674 0.71,2026-02-24T18:35:29.319Z
pnotmt,42,UNKNOWN,51,50,1,0.169925001,2,0,0.179 0.178 0.349 0.482 0.824,2026-02-24T18:35:32.098Z
pnotmt,43,UNKNOWN,23,42,19,4.257387843,1,3,-0.504 -0.09 0.148 -0.394 -0.38 -0.253,2026-02-24T18:35:35.763Z
pnotmt,44,UNKNOWN,60,64,4,2.044394119,1,5,0.2 0.324 0.974 0.476 0.625 0.539 0.185 0.914,2026-02-24T18:35:39.740Z
pnotmt,45,UNKNOWN,47,50,3,1.64385619,7,0,-0.274 -0.242 0.448 -0.569 -0.901 -0.599 0.842 -0.588,2026-02-24T18:35:42.664Z
pnotmt,46,UNKNOWN,49,42,7,2.832890014,4,5,0.347 0.705 0.271 0.537 0.39 0.795,2026-02-24T18:35:45.884Z
pnotmt,47,UNKNOWN,41,68,27,4.761551232,9,1,-0.959 0.845 0.463 0.706 0.49 0.373 -0.735 -0.503 0.611 0.348,2026-02-24T18:35:48.772Z
pnotmt,48,UNKNOWN,28,29,1,0.169925001,4,3,0.963 0.257 0.258 0.103 0.366,2026-02-24T18:35:51.701Z
pnotmt,49,UNKNOWN,64,68,4,2.044394119,0,5,0.397 0.888 0.542 0.743 0.708 0.255 0.786 0.666,2026-02-24T18:35:55.827Z
pnotmt,50,UNKNOWN,69,72,3,1.64385619,1,4,0.641 0.591 0.053 0.866 0.406 0.488 0.255 0.344,2026-02-24T18:35:58.748Z
pnotmt,51,UNKNOWN,100,50,50,5.647458426,1,4,0.938 0.203 -0.933 -0.402 -0.202 0.62,2026-02-24T18:36:01.304Z
pnotmt,52,UNKNOWN,39,26,13,3.714245518,7,8,0.979 0.46 0.92 0.523 0.068 0.84 0.438 0.222 0.573,2026-02-24T18:36:13.877Z
