ParticipantID,TrialNum,Condition,TruePercent,ReportedPercent,AbsError,Log2Error,IndexA,IndexB,Values,TimestampISO
bha4wa,1,UNKNOWN,21,18,3,1.6438561897747248,4,2,0.37 0.249 0.163 0.352 0.76,2026-02-24T17:53:23.012Z
bha4wa,2,UNKNOWN,76,76,0,0,3,2,0.857 0.177 0.225 0.17 0.696,2026-02-24T17:53:28.140Z
bha4wa,3,UNKNOWN,45,20,25,4.651051691178929,3,5,0.585 0.355 0.583 0.138 -0.901 0.309 0.776 -0.778,2026-02-24T17:53:32.055Z
bha4wa,4,UNKNOWN,97,92,5,2.357552004618084,2,4,0.973 0.487 0.141 0.51 0.137,2026-02-24T17:54:22.594Z
bha4wa,5,UNKNOWN,34,26,8,3.0223678130284544,0,1,0.294 0.86 0.162 0.67 0.274 0.967,2026-02-24T17:54:26.708Z
bha4wa,6,UNKNOWN,7,4,3,1.6438561897747248,5,3,0.688 0.804 0.35 0.927 0.487 0.069 0.41 0.861,2026-02-24T17:54:31.280Z
bha4wa,7,UNKNOWN,42,50,8,3.0223678130284544,6,1,0.18 0.784 0.661 0.845 0.325 0.33 0.328,2026-02-24T17:54:35.852Z
bha4wa,8,UNKNOWN,89,71,18,4.1799090900149345,5,3,-0.104 0.222 0.162 -0.75 -0.417 -0.669 0.251 0.907 0.725,2026-02-24T17:54:43.072Z
bha4wa,9,UNKNOWN,82,76,6,2.6147098441152083,4,0,0.473 0.082 0.812 0.493 0.576,2026-02-24T17:54:50.552Z
bha4wa,10,UNKNOWN,44,34,10,3.3398500028846247,6,0,0.434 0.508 0.622 0.481 0.118 0.971 0.991 0.827 0.117 0.581,2026-02-24T17:54:54.798Z
bha4wa,11,UNKNOWN,60,29,31,4.960001932068081,3,8,-0.947 -0.498 0.194 0.92 0.656 0.11 0.499 -0.052 -0.554 -0.502,2026-02-24T17:54:59.806Z
bha4wa,12,UNKNOWN,84,38,46,5.527477006060396,1,7,0.716 0.312 0.952 0.724 0.769 0.841 0.964 0.371 0.117,2026-02-24T17:55:04.540Z
