ParticipantID,TrialNum,Condition,TruePercent,ReportedPercent,AbsError,Log2Error,IndexA,IndexB,Values,TimestampISO
hfz5i8,1,UNKNOWN,17,29,12,3.599912842187128,1,6,0.316 0.133 0.193 0.179 0.825 0.657 0.763 0.15 0.873 0.265,2026-02-24T18:14:29.309Z
hfz5i8,2,UNKNOWN,22,23,1,0.16992500144231237,1,5,0.641 0.769 0.488 0.605 0.232 0.172,2026-02-24T18:15:01.793Z
hfz5i8,3,UNKNOWN,82,88,6,2.6147098441152083,0,4,0.122 0.621 0.107 0.179 0.149 0.188,2026-02-24T18:15:08.571Z
hfz5i8,4,UNKNOWN,17,21,4,2.0443941193584534,2,5,-0.262 -0.525 -0.055 -0.261 -0.267 -0.329,2026-02-24T18:15:16.251Z
hfz5i8,5,UNKNOWN,40,30,10,3.3398500028846247,8,2,0.625 0.121 0.854 0.329 0.971 0.839 0.226 0.102 0.342,2026-02-24T18:15:23.965Z
hfz5i8,6,UNKNOWN,83,94,11,3.4757334309663976,0,1,-0.093 -0.112 0.093 -0.521 -0.877 0.242,2026-02-24T18:15:27.391Z
hfz5i8,7,UNKNOWN,65,81,16,4.011227255423254,0,2,0.978 0.448 0.637 0.982 0.926,2026-02-24T18:15:34.687Z
hfz5i8,8,UNKNOWN,36,34,2,1.0874628412503393,3,7,0.276 0.087 0.281 0.309 0.187 0.726 0.136 0.856 0.191 0.955,2026-02-24T18:15:38.499Z
hfz5i8,9,UNKNOWN,13,22,9,3.189824558880017,7,1,-0.257 -0.124 0.238 0.294 -0.48 0.74 -0.1 -0.98 -0.64,2026-02-24T18:16:00.007Z
hfz5i8,10,UNKNOWN,33,36,3,1.6438561897747248,3,6,0.9 0.519 0.678 0.683 0.726 0.564 0.222 0.903 0.664,2026-02-24T18:16:04.194Z
hfz5i8,11,UNKNOWN,85,77,8,3.0223678130284544,5,4,0.365 0.937 -0.356 -0.328 0.465 -0.397 0.766 0.348,2026-02-24T18:16:21.401Z
hfz5i8,12,UNKNOWN,75,74,1,0.16992500144231237,4,0,0.767 0.307 -0.123 -0.854 -0.576,2026-02-24T18:16:25.813Z
hfz5i8,13,UNKNOWN,57,59,2,1.0874628412503393,4,5,0.837 0.089 0.487 0.711 0.818 0.464 0.971 0.816,2026-02-24T18:16:31.655Z
hfz5i8,14,UNKNOWN,66,62,4,2.0443941193584534,2,4,0.609 0.499 0.539 0.077 0.819 0.785 0.39,2026-02-24T18:16:35.939Z
hfz5i8,15,UNKNOWN,71,85,14,3.820178962415188,6,7,0.562 0.882 0.601 0.24 0.381 0.255 0.348 0.491,2026-02-24T18:16:39.405Z
hfz5i8,16,UNKNOWN,98,90,8,3.0223678130284544,4,0,0.608 0.399 -0.951 -0.202 0.623,2026-02-24T18:16:53.475Z
hfz5i8,17,UNKNOWN,61,59,2,1.0874628412503393,2,3,0.802 0.87 0.566 0.929 0.89,2026-02-24T18:17:09.045Z
