ParticipantID,TrialNum,Condition,TruePercent,ReportedPercent,AbsError,Log2Error,IndexA,IndexB,Values,TimestampISO
334n4w,1,UNKNOWN,80,77,3,1.6438561897747248,0,1,-0.482 -0.605 -0.337 -0.139 0.324 -0.169 0.651,2026-02-24T17:56:10.421Z
334n4w,2,UNKNOWN,59,37,22,4.467605550082998,2,5,0.625 0.907 -0.55 0.499 -0.318 0.926,2026-02-24T17:56:26.901Z
334n4w,3,UNKNOWN,57,50,7,2.8328900141647417,5,8,0.344 0.636 -0.82 0.252 -0.88 0.569 0.759 -0.107 -0.324 -0.951,2026-02-24T17:58:02.063Z
334n4w,4,UNKNOWN,98,93,5,2.357552004618084,1,2,-0.501 0.938 0.92 -0.93 -0.934 -0.745,2026-02-24T17:58:09.666Z
334n4w,5,UNKNOWN,32,30,2,1.0874628412503393,0,6,0.305 0.718 0.649 0.978 0.62 0.242 0.953 0.724 0.814,2026-02-24T17:58:17.264Z
334n4w,6,UNKNOWN,15,11,4,2.0443941193584534,1,3,0.506 0.655 0.332 0.099 0.108,2026-02-24T17:58:23.853Z
334n4w,7,UNKNOWN,9,16,7,2.8328900141647417,9,8,0.759 0.581 0.92 0.87 0.054 0.288 0.99 0.4 0.91 0.08,2026-02-24T17:58:34.894Z
334n4w,8,UNKNOWN,59,74,15,3.9188632372745946,0,3,0.741 0.472 0.316 0.434 0.815,2026-02-24T17:59:01.208Z
334n4w,9,UNKNOWN,27,15,12,3.599912842187128,6,4,0.816 -0.982 0.467 -0.172 -0.192 0.681 0.705 -0.661 -0.975 0.96,2026-02-24T17:59:05.630Z
334n4w,10,UNKNOWN,48,66,18,4.1799090900149345,2,0,0.665 0.147 0.319 0.839 0.593 0.28,2026-02-24T17:59:12.050Z
334n4w,11,UNKNOWN,54,42,12,3.599912842187128,4,5,0.905 0.357 0.406 0.265 0.608 0.326 0.706 0.279,2026-02-24T17:59:19.144Z
334n4w,12,UNKNOWN,40,44,4,2.0443941193584534,2,0,-0.259 0.169 -0.65 0.802 -0.505 0.834,2026-02-24T17:59:24.782Z
334n4w,13,UNKNOWN,31,30,1,0.16992500144231237,4,2,0.618 -0.218 0.275 -0.587 -0.877,2026-02-24T17:59:30.207Z
334n4w,14,UNKNOWN,87,79,8,3.0223678130284544,5,1,-0.934 0.61 0.451 0.398 -0.849 0.698 0.52 -0.058,2026-02-24T18:00:13.737Z
334n4w,15,UNKNOWN,42,30,12,3.599912842187128,7,8,0.398 0.651 0.8 0.406 0.283 0.406 0.57 0.416 0.989 0.428,2026-02-24T18:00:23.395Z
334n4w,16,UNKNOWN,55,27,28,4.813781191217037,3,4,0.787 0.107 0.362 0.493 0.896,2026-02-24T18:00:30.512Z
334n4w,17,UNKNOWN,83,75,8,3.0223678130284544,2,4,0.616 0.961 0.31 0.176 0.375 0.285,2026-02-24T18:00:34.923Z
334n4w,18,UNKNOWN,80,78,2,1.0874628412503393,0,6,0.915 -0.573 0.872 -0.082 0.682 -0.594 0.736,2026-02-24T18:01:12.728Z
334n4w,19,UNKNOWN,26,30,4,2.0443941193584534,1,0,0.177 0.671 0.938 0.847 0.099 0.424 0.517 0.226,2026-02-24T18:01:25.917Z
334n4w,20,UNKNOWN,75,81,6,2.6147098441152083,4,2,0.732 0.152 0.379 0.153 0.505,2026-02-24T18:01:29.759Z
334n4w,21,UNKNOWN,28,50,22,4.467605550082998,7,0,0.243 0.402 -0.118 0.785 -0.83 -0.741 -0.911 0.858 0.441,2026-02-24T18:01:40.588Z
334n4w,22,UNKNOWN,51,71,20,4.330916878114617,0,7,0.453 0.726 0.422 0.864 0.943 0.672 0.254 0.888 0.912 0.388,2026-02-24T18:01:46.340Z
334n4w,23,UNKNOWN,21,24,3,1.6438561897747248,5,2,0.114 0.699 0.103 0.655 0.895 0.491 0.606 0.498 0.077,2026-02-24T18:03:22.665Z
334n4w,24,UNKNOWN,18,23,5,2.357552004618084,5,4,0.79 0.967 0.103 0.819 0.067 0.382 0.423 0.865,2026-02-24T18:03:26.609Z
334n4w,25,UNKNOWN,71,75,4,2.0443941193584534,5,4,0.211 0.925 -0.328 -0.795 -0.922 -0.652,2026-02-24T18:03:30.138Z
334n4w,26,UNKNOWN,89,76,13,3.7142455176661224,0,1,0.455 0.512 0.233 0.773 0.902 0.718 0.513,2026-02-24T18:03:40.480Z
334n4w,27,UNKNOWN,85,93,8,3.0223678130284544,4,3,0.981 0.982 0.489 0.39 0.461 0.492 0.793,2026-02-24T18:03:55.625Z
334n4w,28,UNKNOWN,48,42,6,2.6147098441152083,3,4,0.767 0.801 0.594 0.445 0.924 0.865 0.806 0.887,2026-02-24T18:04:01.292Z
334n4w,29,UNKNOWN,59,81,22,4.467605550082998,6,4,0.341 0.577 0.056 0.213 0.753 0.879 0.445 0.595 0.8 0.469,2026-02-24T18:04:05.107Z
334n4w,30,UNKNOWN,18,24,6,2.6147098441152083,7,6,0.52 0.445 0.572 0.946 0.412 0.227 0.949 0.169,2026-02-24T18:04:11.738Z
334n4w,31,UNKNOWN,82,89,7,2.8328900141647417,2,3,0.286 0.087 0.96 0.788 0.131 0.94,2026-02-24T18:04:21.505Z
334n4w,32,UNKNOWN,82,83,1,0.16992500144231237,4,6,0.553 -0.593 0.147 -0.112 0.577 0.197 0.702 0.1 0.759,2026-02-24T18:04:27.858Z
334n4w,33,UNKNOWN,54,70,16,4.011227255423254,5,0,0.319 0.186 0.612 0.918 0.896 0.593 0.68 0.768 0.381,2026-02-24T18:04:32.309Z
334n4w,34,UNKNOWN,11,3,8,3.0223678130284544,3,2,0.682 0.957 0.064 0.581 0.897 0.634 0.99 0.442,2026-02-24T18:04:36.168Z
334n4w,35,UNKNOWN,8,12,4,2.0443941193584534,1,3,0.732 0.072 0.099 0.92 0.188 0.835 0.758,2026-02-24T18:04:39.872Z
334n4w,36,UNKNOWN,44,21,23,4.531381460516312,2,0,-0.802 -0.974 -0.355 -0.574 0.937 -0.21,2026-02-24T18:04:46.160Z
334n4w,37,UNKNOWN,88,86,2,1.0874628412503393,4,2,0.46 0.114 0.127 0.608 0.144,2026-02-24T18:05:14.092Z
334n4w,38,UNKNOWN,32,25,7,2.8328900141647417,1,4,0.13 -0.307 0.518 0.444 0.956,2026-02-24T18:05:21.208Z
334n4w,39,UNKNOWN,75,72,3,1.6438561897747248,6,7,-0.569 0.309 0.273 0.081 -0.275 -0.073 -0.551 0.415,2026-02-24T18:05:27.655Z
334n4w,40,UNKNOWN,27,24,3,1.6438561897747248,0,4,0.262 0.847 -0.861 0.88 -0.954 0.992 0.94 -0.733,2026-02-24T18:05:35.569Z
334n4w,41,UNKNOWN,55,56,1,0.16992500144231237,3,4,0.43 0.308 0.137 0.462 0.835,2026-02-24T18:05:48.372Z
334n4w,42,UNKNOWN,53,50,3,1.6438561897747248,2,4,0.683 0.075 0.07 0.719 0.132 0.618 0.685 0.806 0.475,2026-02-24T18:05:56.190Z
334n4w,43,UNKNOWN,19,37,18,4.1799090900149345,3,0,-0.112 -0.703 -0.755 0.59 0.538,2026-02-24T18:06:00.660Z
334n4w,44,UNKNOWN,26,25,1,0.16992500144231237,4,9,0.767 0.371 0.586 0.283 0.184 0.348 0.657 0.847 0.492 0.695,2026-02-24T18:06:04.745Z
334n4w,45,UNKNOWN,39,44,5,2.357552004618084,5,0,0.388 0.729 0.272 0.263 0.277 0.998 0.197,2026-02-24T18:06:12.200Z
334n4w,46,UNKNOWN,88,93,5,2.357552004618084,7,0,0.463 0.872 0.405 0.953 0.896 0.495 0.059 0.407 0.21,2026-02-24T18:06:19.805Z
334n4w,47,UNKNOWN,9,11,2,1.0874628412503393,6,4,0.837 0.296 0.319 0.541 0.087 0.747 0.921,2026-02-24T18:06:38.270Z
334n4w,48,UNKNOWN,58,79,21,4.400879436282184,7,4,0.435 0.775 0.863 0.397 0.568 0.228 0.685 0.329 0.781,2026-02-24T18:07:18.010Z
334n4w,49,UNKNOWN,93,100,7,2.8328900141647417,6,1,0.472 -0.684 -0.955 -0.932 0.444 -0.798 -0.738 -0.758 0.429,2026-02-24T18:07:23.637Z
334n4w,50,UNKNOWN,75,86,11,3.4757334309663976,2,0,0.923 -0.21 -0.696 0.289 -0.1 0.653,2026-02-24T18:07:52.594Z
334n4w,51,UNKNOWN,50,45,5,2.357552004618084,4,3,0.052 0.877 0.13 0.68 0.341 0.707,2026-02-24T18:08:00.936Z
334n4w,52,UNKNOWN,92,77,15,3.9188632372745946,4,0,0.771 0.978 0.132 0.076 0.708 0.675 0.463 0.84,2026-02-24T18:08:07.559Z
334n4w,53,UNKNOWN,13,21,8,3.0223678130284544,0,2,0.093 0.585 0.74 0.453 0.179 0.698 0.473 0.97,2026-02-24T18:08:11.917Z
334n4w,54,UNKNOWN,47,44,3,1.6438561897747248,5,7,0.658 0.925 0.095 0.067 0.46 0.718 0.284 0.337 0.825,2026-02-24T18:08:32.563Z
334n4w,55,UNKNOWN,94,89,5,2.357552004618084,0,5,0.818 0.824 0.203 0.479 0.564 0.767 0.796 0.707 0.443 0.653,2026-02-24T18:08:37.135Z
334n4w,56,UNKNOWN,43,34,9,3.189824558880017,0,2,0.974 0.401 0.419 0.544 0.849,2026-02-24T18:08:43.333Z
334n4w,57,UNKNOWN,26,37,11,3.4757334309663976,4,2,0.249 -0.775 0.657 0.245 0.173,2026-02-24T18:08:51.831Z
334n4w,58,UNKNOWN,91,89,2,1.0874628412503393,5,0,0.869 0.459 0.306 0.36 0.387 0.958 0.292 0.51 0.307 0.991,2026-02-24T18:08:58.811Z
334n4w,59,UNKNOWN,85,80,5,2.357552004618084,6,8,0.382 0.099 0.183 0.239 0.536 0.719 0.451 0.664 0.528,2026-02-24T18:09:06.001Z
334n4w,60,UNKNOWN,70,63,7,2.8328900141647417,1,0,0.457 0.655 0.78 0.394 0.919,2026-02-24T18:09:14.487Z
