ParticipantID,TrialNum,Condition,TruePercent,ReportedPercent,AbsError,Log2Error,IndexA,IndexB,Values,TimestampISO
b6yixy,1,UNKNOWN,53,50,3,1.6438561897747248,5,4,0.207 0.101 0.734 0.486 0.396 0.749,2026-02-24T18:16:41.616Z
b6yixy,2,UNKNOWN,16,20,4,2.0443941193584534,6,2,0.641 0.641 0.742 0.963 0.289 0.558 0.121 0.45 0.895,2026-02-24T18:16:59.284Z
b6yixy,3,UNKNOWN,35,50,15,3.9188632372745946,1,8,0.064 0.182 0.766 0.292 -0.171 -0.771 -0.413 -0.407 -0.519 0.287,2026-02-24T18:17:10.133Z
b6yixy,4,UNKNOWN,33,30,3,1.6438561897747248,3,5,0.134 0.123 0.448 0.919 0.224 0.304 0.1 0.616 0.829 0.604,2026-02-24T18:17:26.494Z
b6yixy,5,UNKNOWN,93,90,3,1.6438561897747248,2,0,0.913 0.911 0.98 0.768 0.265 0.746 0.589 0.481,2026-02-24T18:17:43.926Z
b6yixy,6,UNKNOWN,17,21,4,2.0443941193584534,5,0,0.836 0.666 0.891 0.732 0.573 0.14,2026-02-24T18:17:55.573Z
b6yixy,7,UNKNOWN,30,30,0,0,0,3,0.57 0.399 0.654 0.171 0.091 0.19 0.06 0.852,2026-02-24T18:18:02.629Z
b6yixy,8,UNKNOWN,50,50,0,0,2,3,0.589 0.931 0.251 0.125 0.695 0.927 0.561 0.253 0.686,2026-02-24T18:18:10.337Z
b6yixy,9,UNKNOWN,36,35,1,0.16992500144231237,0,4,0.757 0.055 0.911 0.76 0.271 0.576,2026-02-24T18:18:28.009Z
b6yixy,10,UNKNOWN,27,26,1,0.16992500144231237,4,1,0.839 0.813 0.366 0.17 0.218 0.859 0.571 0.406 0.238 0.424,2026-02-24T18:18:43.330Z
b6yixy,11,UNKNOWN,53,62,9,3.189824558880017,4,2,0.847 0.058 0.13 0.606 0.244 0.551 0.564 0.718,2026-02-24T18:18:52.295Z
b6yixy,12,UNKNOWN,70,74,4,2.0443941193584534,2,0,0.946 -0.086 0.661 -0.117 0.184 0.521 0.936 -0.915,2026-02-24T18:18:59.343Z
b6yixy,13,UNKNOWN,100,85,15,3.9188632372745946,8,3,-0.974 0.69 0.769 -0.98 -0.884 0.664 -0.459 0.329 0.98 -0.472,2026-02-24T18:19:12.489Z
b6yixy,14,UNKNOWN,77,86,9,3.189824558880017,2,5,0.248 0.215 0.684 0.215 0.102 0.524 0.075,2026-02-24T18:19:22.165Z
b6yixy,15,UNKNOWN,86,92,6,2.6147098441152083,6,0,0.861 0.78 0.804 0.875 0.962 0.777 1 0.983 0.624,2026-02-24T18:19:36.736Z
b6yixy,16,UNKNOWN,41,50,9,3.189824558880017,4,1,-0.544 -0.91 0.601 0.805 -0.372 -0.168,2026-02-24T18:19:41.895Z
b6yixy,17,UNKNOWN,21,14,7,2.8328900141647417,0,1,0.792 0.166 0.72 0.228 0.824 0.924 0.449 0.555,2026-02-24T18:19:51.738Z
b6yixy,18,UNKNOWN,31,32,1,0.16992500144231237,6,2,0.122 0.251 0.16 0.525 0.372 0.467 0.518 0.093,2026-02-24T18:20:03.836Z
b6yixy,19,UNKNOWN,24,22,2,1.0874628412503393,0,1,0.634 0.151 0.973 0.258 0.497 0.53 0.525 0.146 0.522,2026-02-24T18:20:19.097Z
b6yixy,20,UNKNOWN,50,50,0,0,9,3,0.281 0.943 0.574 0.552 0.729 0.536 0.797 0.295 0.14 0.274,2026-02-24T18:20:27.546Z
b6yixy,21,UNKNOWN,52,50,2,1.0874628412503393,3,2,0.587 0.175 0.932 0.488 0.265 0.703,2026-02-24T18:20:33.749Z
b6yixy,22,UNKNOWN,84,76,8,3.0223678130284544,4,5,-0.237 0.228 -0.296 -0.454 0.776 -0.926 -0.592 -0.62,2026-02-24T18:20:41.751Z
b6yixy,23,UNKNOWN,65,63,2,1.0874628412503393,2,3,0.961 0.901 0.593 0.918 0.738 0.419 0.394,2026-02-24T18:20:46.364Z
b6yixy,24,UNKNOWN,70,80,10,3.3398500028846247,4,1,0.539 -0.793 0.144 -0.93 -0.558,2026-02-24T18:20:54.981Z
b6yixy,25,UNKNOWN,78,84,6,2.6147098441152083,3,1,0.262 0.567 0.901 0.731 0.49 0.111 0.544,2026-02-24T18:21:06.125Z
