ParticipantID,TrialNum,Condition,TruePercent,ReportedPercent,AbsError,Log2Error,IndexA,IndexB,Values,TimestampISO
fkay58,1,UNKNOWN,8,12,4,2.0443941193584534,8,3,0.394 0.703 0.933 0.076 0.18 0.829 0.347 0.317 0.977,2026-02-24T17:44:10.326Z
fkay58,2,UNKNOWN,68,70,2,1.0874628412503393,0,1,0.664 0.449 0.221 0.217 0.437 0.397 0.467 0.544,2026-02-24T17:44:22.589Z
fkay58,3,UNKNOWN,30,40,10,3.3398500028846247,0,3,0.14 0.984 0.222 0.462 0.461 0.84 -0.919 -0.279 -0.947 -0.993,2026-02-24T17:44:36.094Z
fkay58,4,UNKNOWN,12,15,3,1.6438561897747248,7,1,0.077 0.983 0.829 0.38 0.242 0.9 0.999 0.121,2026-02-24T17:44:46.873Z
fkay58,5,UNKNOWN,77,83,6,2.6147098441152083,0,2,-0.918 -0.876 0.708 0.339 -0.06,2026-02-24T17:44:57.464Z
fkay58,6,UNKNOWN,30,33,3,1.6438561897747248,1,6,-0.222 0.203 0.56 -0.796 0.286 -0.102 -0.678 0.242 -0.526 0.662,2026-02-24T17:45:07.232Z
fkay58,7,UNKNOWN,78,80,2,1.0874628412503393,6,4,0.548 0.422 0.473 0.439 0.574 0.218 0.735 0.143,2026-02-24T17:45:18.100Z
fkay58,8,UNKNOWN,70,75,5,2.357552004618084,6,8,-0.933 0.249 -0.939 0.114 -0.15 0.795 0.66 0.4 0.945 -0.744,2026-02-24T17:45:27.521Z
fkay58,9,UNKNOWN,39,45,6,2.6147098441152083,5,4,0.061 0.529 0.107 0.264 0.17 0.435,2026-02-24T17:45:50.909Z
fkay58,10,UNKNOWN,83,83,0,0,0,1,0.952 0.794 0.221 0.487 0.692 0.604 0.416 0.778,2026-02-24T17:46:00.705Z
fkay58,11,UNKNOWN,14,15,1,0.16992500144231237,4,1,0.673 -0.935 -0.834 -0.126 0.131 -0.518,2026-02-24T17:46:09.015Z
fkay58,12,UNKNOWN,72,83,11,3.4757334309663976,5,3,0.779 0.98 0.09 0.548 0.998 0.762 0.535,2026-02-24T17:46:17.764Z
fkay58,13,UNKNOWN,15,19,4,2.0443941193584534,3,0,-0.096 0.275 0.552 0.637 -0.561 0.128,2026-02-24T17:46:28.736Z
fkay58,14,UNKNOWN,54,50,4,2.0443941193584534,3,9,0.936 0.792 0.574 0.439 0.459 0.393 0.241 0.931 0.948 0.818,2026-02-24T17:46:39.047Z
fkay58,15,UNKNOWN,94,95,1,0.16992500144231237,1,4,0.732 0.572 0.605 -0.665 -0.611 -0.707 0.102 -0.328,2026-02-24T17:46:45.609Z
fkay58,16,UNKNOWN,80,85,5,2.357552004618084,4,1,0.339 0.884 0.958 0.172 0.708,2026-02-24T17:46:52.798Z
fkay58,17,UNKNOWN,71,63,8,3.0223678130284544,4,5,0.537 0.771 0.655 0.925 0.927 0.657,2026-02-24T17:47:08.435Z
fkay58,18,UNKNOWN,78,77,1,0.16992500144231237,1,2,-0.478 -0.668 -0.52 0.929 -0.18,2026-02-24T17:47:17.427Z
fkay58,19,UNKNOWN,27,38,11,3.4757334309663976,2,3,0.871 0.477 0.934 0.252 0.717 0.926 0.385,2026-02-24T17:47:34.155Z
fkay58,20,UNKNOWN,39,37,2,1.0874628412503393,0,4,-0.271 -0.36 0.861 -0.651 -0.105,2026-02-24T17:47:43.073Z
fkay58,21,UNKNOWN,22,27,5,2.357552004618084,7,5,0.988 0.879 0.162 -0.677 0.606 -0.195 0.942 0.902,2026-02-24T17:48:25.970Z
fkay58,22,UNKNOWN,79,71,8,3.0223678130284544,3,8,-0.783 0.465 0.741 -0.923 0.416 -0.962 0.579 -0.163 0.725 0.299,2026-02-24T17:48:30.544Z
fkay58,23,UNKNOWN,18,19,1,0.16992500144231237,3,4,0.547 0.939 0.911 0.122 0.697,2026-02-24T17:48:37.564Z
fkay58,24,UNKNOWN,53,43,10,3.3398500028846247,1,3,0.794 0.776 0.488 0.412 0.735 0.604 0.997 0.389 0.665,2026-02-24T17:48:42.312Z
fkay58,25,UNKNOWN,22,23,1,0.16992500144231237,4,0,0.937 0.161 0.55 0.645 0.202 0.595 0.933 0.838 0.849 0.854,2026-02-24T17:48:58.152Z
fkay58,26,UNKNOWN,83,90,7,2.8328900141647417,5,0,0.89 0.69 0.072 0.138 0.971 0.738,2026-02-24T17:49:06.912Z
fkay58,27,UNKNOWN,93,97,4,2.0443941193584534,6,3,0.785 0.879 0.734 0.338 0.804 0.738 0.363 0.324 0.876,2026-02-24T17:49:18.663Z
fkay58,28,UNKNOWN,38,40,2,1.0874628412503393,2,0,0.295 0.064 0.772 0.075 0.776 0.148 0.676 0.576 0.645,2026-02-24T17:49:23.793Z
fkay58,29,UNKNOWN,38,25,13,3.7142455176661224,3,0,0.118 0.123 0.438 0.307 0.271 0.228 0.754 0.137 0.887,2026-02-24T17:49:30.197Z
fkay58,30,UNKNOWN,38,33,5,2.357552004618084,3,0,0.118 0.123 0.438 0.307 0.271 0.228 0.754 0.137 0.887,2026-02-24T17:49:34.328Z
fkay58,31,UNKNOWN,32,32,0,0,0,7,0.255 0.711 0.406 0.682 0.209 0.685 0.785 0.802 0.808,2026-02-24T17:49:52.730Z
fkay58,32,UNKNOWN,26,30,4,2.0443941193584534,1,3,0.844 0.213 0.221 0.817 0.429 0.802 0.835 0.233,2026-02-24T17:50:09.978Z
fkay58,33,UNKNOWN,51,80,29,4.864186144654281,2,4,0.911 0.068 0.281 0.452 0.547 0.984 0.891,2026-02-24T17:50:32.245Z
fkay58,34,UNKNOWN,64,60,4,2.0443941193584534,4,9,-0.949 0.161 0.638 0.915 -0.345 -0.181 0.554 0.424 -0.854 -0.22,2026-02-24T17:50:38.374Z
fkay58,35,UNKNOWN,44,50,6,2.6147098441152083,0,3,0.288 0.771 0.731 0.653 0.822 0.257,2026-02-24T17:50:44.641Z
fkay58,36,UNKNOWN,30,33,3,1.6438561897747248,2,6,0.877 0.416 0.143 0.68 0.812 0.497 0.479 0.92,2026-02-24T17:50:50.215Z
fkay58,37,UNKNOWN,45,50,5,2.357552004618084,1,3,0.26 0.444 0.183 0.977 0.942,2026-02-24T17:51:02.015Z
fkay58,38,UNKNOWN,80,83,3,1.6438561897747248,5,1,0.305 0.851 -0.754 0.378 0.742 -0.68 -0.783 -0.48,2026-02-24T17:51:07.761Z
fkay58,39,UNKNOWN,30,34,4,2.0443941193584534,1,0,0.166 0.56 0.525 0.852 0.766,2026-02-24T17:51:14.976Z
fkay58,40,UNKNOWN,16,18,2,1.0874628412503393,7,3,0.285 0.243 0.637 0.13 0.363 0.279 0.255 0.818 0.943 0.941,2026-02-24T17:51:32.492Z
fkay58,41,UNKNOWN,43,35,8,3.0223678130284544,9,7,-0.683 0.349 -0.949 -0.689 -0.629 0.756 0.237 -0.39 -0.287 0.91,2026-02-24T17:51:36.615Z
fkay58,42,UNKNOWN,34,32,2,1.0874628412503393,5,3,0.831 0.115 0.333 0.294 0.748 0.863,2026-02-24T17:51:41.992Z
fkay58,43,UNKNOWN,24,27,3,1.6438561897747248,4,5,0.763 0.33 0.367 0.369 0.983 0.239 0.114 0.657 0.333,2026-02-24T17:51:48.747Z
fkay58,44,UNKNOWN,74,85,11,3.4757334309663976,6,0,0.907 0.398 0.054 0.568 0.83 0.93 0.668 0.711 0.939,2026-02-24T17:51:54.383Z
fkay58,45,UNKNOWN,28,20,8,3.0223678130284544,1,2,0.358 0.692 0.195 0.803 0.562 0.066,2026-02-24T17:52:17.702Z
fkay58,46,UNKNOWN,67,75,8,3.0223678130284544,3,4,-0.732 -0.416 0.269 -0.449 -0.67 -0.277,2026-02-24T17:52:23.017Z
fkay58,47,UNKNOWN,44,60,16,4.011227255423254,4,0,0.344 0.46 0.279 0.372 0.784 0.166,2026-02-24T17:52:27.703Z
fkay58,48,UNKNOWN,83,88,5,2.357552004618084,0,3,0.929 0.43 0.621 0.768 -0.996 0.813 0.295 -0.863 0.492,2026-02-24T17:52:35.866Z
fkay58,49,UNKNOWN,23,25,2,1.0874628412503393,3,2,-0.438 0.457 -0.195 0.859 0.456,2026-02-24T17:52:43.786Z
fkay58,50,UNKNOWN,100,100,0,0,8,5,0.557 0.888 0.23 0.909 0.649 0.216 0.374 0.08 0.217,2026-02-24T17:52:49.566Z
fkay58,51,UNKNOWN,87,90,3,1.6438561897747248,0,2,0.601 0.177 0.687 0.773 0.245,2026-02-24T17:52:55.223Z
fkay58,52,UNKNOWN,44,45,1,0.16992500144231237,2,8,0.237 0.438 0.177 0.642 0.065 0.699 0.359 0.766 0.4,2026-02-24T17:53:05.463Z
fkay58,53,UNKNOWN,82,90,8,3.0223678130284544,6,1,-0.835 0.385 0.522 -0.861 0.344 0.713 -0.47 0.513,2026-02-24T17:53:11.232Z
fkay58,54,UNKNOWN,74,80,6,2.6147098441152083,4,3,-0.326 0.83 0.433 0.872 -0.644 -0.564 -0.365,2026-02-24T17:53:18.985Z
fkay58,55,UNKNOWN,48,62,14,3.820178962415188,3,7,0.448 0.758 0.246 0.431 0.732 0.947 0.411 0.207 0.274 0.763,2026-02-24T17:53:33.968Z
fkay58,56,UNKNOWN,13,15,2,1.0874628412503393,0,1,0.057 0.445 0.557 0.102 0.644,2026-02-24T17:53:41.054Z
fkay58,57,UNKNOWN,20,37,17,4.098032082960526,0,8,0.94 0.332 0.919 0.415 0.806 0.772 0.479 0.354 0.189,2026-02-24T17:53:45.522Z
fkay58,58,UNKNOWN,74,80,6,2.6147098441152083,0,2,0.161 0.516 0.119 0.506 0.536 0.507 0.48,2026-02-24T17:53:56.802Z
fkay58,59,UNKNOWN,73,70,3,1.6438561897747248,2,5,0.696 0.191 0.7 0.812 0.252 0.96 0.993,2026-02-24T17:54:02.508Z
fkay58,60,UNKNOWN,49,62,13,3.7142455176661224,2,4,-0.318 0.639 0.921 0.596 0.453 0.441 -0.325,2026-02-24T17:54:07.715Z
fkay58,61,UNKNOWN,64,75,11,3.4757334309663976,8,7,0.986 0.56 0.136 0.989 0.147 0.36 0.468 0.642 0.414,2026-02-24T17:54:12.701Z
