ParticipantID,TrialNum,Condition,TruePercent,ReportedPercent,AbsError,Log2Error,IndexA,IndexB,Values,TimestampISO
6h452i,1,UNKNOWN,41,43,2,1.0874628412503393,3,4,0.532 0.748 0.572 0.164 0.398,2026-02-24T18:11:34.714Z
6h452i,2,UNKNOWN,45,45,0,0,3,4,0.688 0.774 0.624 0.809 0.361 0.244 0.561 0.551,2026-02-24T18:11:44.081Z
6h452i,3,UNKNOWN,62,57,5,2.357552004618084,6,1,0.89 -0.886 -0.768 -0.613 -0.817 -0.5 0.548 -0.18 -0.975,2026-02-24T18:11:50.982Z
6h452i,4,UNKNOWN,52,31,21,4.400879436282184,5,0,0.863 0.231 -0.124 -0.784 0.505 -0.448 -0.479 0.76,2026-02-24T18:13:39.014Z
6h452i,5,UNKNOWN,48,50,2,1.0874628412503393,4,9,0.733 0.426 0.986 0.64 0.452 0.555 0.772 0.375 0.581 0.948,2026-02-24T18:13:42.260Z
6h452i,6,UNKNOWN,40,26,14,3.820178962415188,6,4,0.145 0.989 0.246 0.943 0.17 0.775 0.42 0.088,2026-02-24T18:13:46.096Z
6h452i,7,UNKNOWN,70,83,13,3.7142455176661224,8,6,0.566 0.061 0.811 0.699 0.474 0.854 0.826 0.489 0.579,2026-02-24T18:14:23.596Z
6h452i,8,UNKNOWN,28,15,13,3.7142455176661224,6,3,0.367 0.46 0.962 0.469 0.48 0.094 0.129 0.405 0.492 0.761,2026-02-24T18:14:32.751Z
6h452i,9,UNKNOWN,48,36,12,3.599912842187128,2,3,-0.946 -0.535 0.35 0.736 -0.439 0.919 -0.924 0.125 0.051,2026-02-24T18:14:36.665Z
6h452i,10,UNKNOWN,75,87,12,3.599912842187128,2,3,0.11 0.433 0.998 0.753 0.085 0.463,2026-02-24T18:14:40.550Z
6h452i,11,UNKNOWN,79,84,5,2.357552004618084,7,6,0.397 0.409 0.266 0.788 0.538 0.615 0.425 0.541,2026-02-24T18:14:44.243Z
6h452i,12,UNKNOWN,16,23,7,2.8328900141647417,4,5,0.649 0.164 0.653 0.557 0.982 0.154 0.48 0.41 0.191,2026-02-24T18:14:48.004Z
6h452i,13,UNKNOWN,10,23,13,3.7142455176661224,3,5,0.263 0.709 0.135 0.092 0.543 0.915,2026-02-24T18:14:51.967Z
6h452i,14,UNKNOWN,36,28,8,3.0223678130284544,3,1,0.509 0.193 0.731 0.07 0.551 0.167,2026-02-24T18:14:57.375Z
6h452i,15,UNKNOWN,95,90,5,2.357552004618084,1,0,0.668 0.702 0.653 0.121 0.856,2026-02-24T18:15:05.059Z
6h452i,16,UNKNOWN,91,88,3,1.6438561897747248,3,4,0.927 0.293 0.234 0.877 0.794 0.812,2026-02-24T18:15:12.913Z
6h452i,17,UNKNOWN,47,43,4,2.0443941193584534,5,4,0.448 0.807 0.217 0.644 0.263 0.554 0.678,2026-02-24T18:15:20.267Z
