ParticipantID,TrialNum,Condition,TruePercent,ReportedPercent,AbsError,Log2Error,IndexA,IndexB,Values,TimestampISO
3478ue,1,UNKNOWN,59,50,9,3.189824558880017,0,1,0.377 0.223 0.262 0.291 0.52 0.361 0.269,2026-02-24T17:35:00.052Z
3478ue,2,UNKNOWN,71,60,11,3.4757334309663976,4,9,0.57 0.254 0.376 0.462 0.852 0.491 0.391 0.055 0.418 0.607,2026-02-24T17:35:05.465Z
3478ue,3,UNKNOWN,17,9,8,3.0223678130284544,3,5,0.613 0.503 0.192 0.321 0.329 0.054 0.898 0.597 0.235 0.091,2026-02-24T17:35:13.002Z
3478ue,4,UNKNOWN,74,84,10,3.3398500028846247,6,8,-0.58 -0.366 -0.31 0.72 -0.339 -0.81 0.55 0.795 0.746 0.677,2026-02-24T17:35:19.674Z
3478ue,5,UNKNOWN,42,39,3,1.6438561897747248,3,0,-0.496 0.178 0.521 -0.21 0.89 -0.47 -0.355,2026-02-24T17:35:25.520Z
3478ue,6,UNKNOWN,40,18,22,4.467605550082998,1,0,0.165 0.416 0.503 0.059 0.437 0.87 0.455 0.259,2026-02-24T17:35:31.084Z
3478ue,7,UNKNOWN,19,27,8,3.0223678130284544,2,6,0.849 0.77 0.68 0.441 0.82 0.55 0.131 0.442 0.947 0.902,2026-02-24T17:35:36.311Z
3478ue,8,UNKNOWN,90,92,2,1.0874628412503393,0,3,0.388 0.684 0.865 0.349 0.748 0.955 0.767 0.746,2026-02-24T17:35:40.712Z
3478ue,9,UNKNOWN,81,88,7,2.8328900141647417,2,1,0.44 0.573 0.462 0.559 0.911 0.757,2026-02-24T17:35:45.240Z
3478ue,10,UNKNOWN,41,24,17,4.098032082960526,5,3,0.591 -0.771 0.486 0.279 -0.712 -0.678,2026-02-24T17:35:53.037Z
3478ue,11,UNKNOWN,10,29,19,4.257387842692652,1,4,0.071 0.954 0.996 0.111 0.091 0.687 0.817 0.472 0.59,2026-02-24T17:35:57.393Z
3478ue,12,UNKNOWN,48,26,22,4.467605550082998,5,4,0.412 0.631 0.687 0.598 0.769 0.368 0.928 0.856,2026-02-24T17:36:00.796Z
3478ue,13,UNKNOWN,47,50,3,1.6438561897747248,1,4,0.368 0.603 0.791 0.053 0.281,2026-02-24T17:36:07.804Z
3478ue,14,UNKNOWN,58,50,8,3.0223678130284544,0,8,-0.346 -0.779 -0.155 0.912 -0.197 -0.871 -0.447 -0.203 0.594,2026-02-24T17:36:11.609Z
