ParticipantID,TrialNum,Condition,TruePercent,ReportedPercent,AbsError,Log2Error,IndexA,IndexB,Values,TimestampISO
8u83fh,1,UNKNOWN,77,76,1,0.16992500144231237,4,0,0.621 0.262 0.693 0.623 0.802 0.504,2026-02-24T16:45:55.213Z
8u83fh,2,UNKNOWN,9,12,3,1.6438561897747248,1,3,-0.779 -0.063 0.229 0.723 0.17 -0.359,2026-02-24T16:46:09.606Z
8u83fh,3,UNKNOWN,33,35,2,1.0874628412503393,4,8,-0.074 -0.633 -0.738 -0.147 0.275 0.954 0.733 -0.8 0.837 0.17,2026-02-24T16:46:19.181Z
8u83fh,4,UNKNOWN,86,95,9,3.189824558880017,3,4,0.809 0.325 0.405 0.446 0.383,2026-02-24T16:46:31.526Z
8u83fh,5,UNKNOWN,22,27,5,2.357552004618084,4,2,-0.145 -0.787 0.43 0.682 -0.096,2026-02-24T16:46:47.227Z
8u83fh,6,UNKNOWN,29,22,7,2.8328900141647417,1,0,-0.186 0.651 -0.561 -0.848 0.968 0.766 0.17,2026-02-24T16:47:15.627Z
8u83fh,7,UNKNOWN,66,67,1,0.16992500144231237,6,5,0.25 0.649 0.806 0.926 0.208 0.539 0.811 0.215,2026-02-24T16:47:30.252Z
8u83fh,8,UNKNOWN,82,74,8,3.0223678130284544,1,0,0.671 0.818 0.987 0.717 0.502 0.652 0.831 0.334 0.864,2026-02-24T16:47:42.111Z
8u83fh,9,UNKNOWN,74,88,14,3.820178962415188,9,6,0.342 0.132 0.188 0.075 0.221 0.262 0.126 0.175 0.873 0.17,2026-02-24T16:47:53.644Z
8u83fh,10,UNKNOWN,21,16,5,2.357552004618084,5,6,0.595 0.069 0.572 0.41 0.461 0.686 0.145 0.488 0.283 0.624,2026-02-24T16:48:04.622Z
8u83fh,11,UNKNOWN,43,39,4,2.0443941193584534,2,1,0.382 0.882 0.376 0.302 0.483,2026-02-24T16:48:23.260Z
8u83fh,12,UNKNOWN,75,77,2,1.0874628412503393,7,2,-0.243 -0.685 -0.746 0.854 0.209 0.303 0.057 0.562,2026-02-24T16:48:52.022Z
8u83fh,13,UNKNOWN,13,6,7,2.8328900141647417,3,7,0.607 0.091 0.078 0.111 0.971 0.574 0.071 0.864 0.967,2026-02-24T16:52:44.032Z
8u83fh,14,UNKNOWN,23,16,7,2.8328900141647417,3,5,-0.848 -0.471 -0.81 -0.819 0.863 0.191 0.459 -0.062 -0.326 0.77,2026-02-24T16:53:01.689Z
8u83fh,15,UNKNOWN,46,39,7,2.8328900141647417,6,5,0.331 0.333 0.263 0.321 0.139 0.458 0.996,2026-02-24T16:53:14.382Z
8u83fh,16,UNKNOWN,58,61,3,1.6438561897747248,4,1,0.934 0.477 0.485 -0.834 0.276 0.381 -0.627 -0.107 0.107,2026-02-24T16:53:25.290Z
8u83fh,17,UNKNOWN,84,85,1,0.16992500144231237,4,0,0.988 0.299 0.627 0.994 0.834 0.621 0.61 0.205,2026-02-24T16:53:33.346Z
8u83fh,18,UNKNOWN,12,5,7,2.8328900141647417,1,2,0.707 0.094 0.801 0.951 0.202 0.09 0.699 0.665 0.35,2026-02-24T16:53:43.272Z
8u83fh,19,UNKNOWN,85,80,5,2.357552004618084,6,0,0.829 0.343 0.672 0.513 0.747 0.11 0.979,2026-02-24T16:53:57.651Z
8u83fh,20,UNKNOWN,26,30,4,2.0443941193584534,6,8,0.667 0.101 0.301 0.974 0.459 0.817 0.242 0.879 0.063,2026-02-24T16:54:13.511Z
8u83fh,21,UNKNOWN,8,4,4,2.0443941193584534,4,2,0.438 0.298 0.064 0.132 0.837 0.087 0.875 0.167 0.626,2026-02-24T16:54:24.267Z
8u83fh,22,UNKNOWN,52,41,11,3.4757334309663976,4,1,0.978 0.773 -0.538 0.919 -0.404,2026-02-24T16:54:36.743Z
8u83fh,23,UNKNOWN,49,45,4,2.0443941193584534,6,7,0.539 0.333 0.127 0.3 0.793 0.093 0.898 0.443 0.486,2026-02-24T16:54:48.441Z
8u83fh,24,UNKNOWN,83,86,3,1.6438561897747248,0,3,0.741 0.088 0.592 0.893 0.058 0.279,2026-02-24T16:55:08.583Z
8u83fh,25,UNKNOWN,39,31,8,3.0223678130284544,0,3,0.324 0.451 0.913 0.838 0.456 0.13 0.909,2026-02-24T16:55:23.256Z
8u83fh,26,UNKNOWN,45,40,5,2.357552004618084,2,0,0.672 0.947 0.302 0.218 0.135 0.15 0.921 0.084,2026-02-24T16:55:33.191Z
8u83fh,27,UNKNOWN,64,66,2,1.0874628412503393,6,5,0.478 -0.089 -0.531 0.28 0.872 0.98 -0.626 -0.69,2026-02-24T16:55:41.320Z
8u83fh,28,UNKNOWN,52,54,2,1.0874628412503393,1,5,0.401 -0.747 0.18 -0.841 0.619 0.388,2026-02-24T16:55:56.478Z
8u83fh,29,UNKNOWN,22,20,2,1.0874628412503393,0,3,0.831 0.263 0.795 0.18 0.426 0.411,2026-02-24T16:56:08.046Z
8u83fh,30,UNKNOWN,47,47,0,0,4,2,0.793 0.699 0.697 0.359 0.326,2026-02-24T16:56:24.571Z
8u83fh,31,UNKNOWN,27,27,0,0,5,3,0.103 0.613 0.895 0.059 0.255 0.222,2026-02-24T16:56:36.799Z
8u83fh,32,UNKNOWN,68,67,1,0.16992500144231237,4,1,0.644 -0.492 0.105 0.306 0.726 -0.749,2026-02-24T16:56:46.318Z
8u83fh,33,UNKNOWN,54,61,7,2.8328900141647417,8,0,0.226 0.275 0.831 -0.781 -0.587 -0.47 -0.599 -0.887 -0.42,2026-02-24T16:56:57.195Z
8u83fh,34,UNKNOWN,60,39,21,4.400879436282184,2,3,0.31 0.221 0.771 0.463 0.514 0.838 0.651,2026-02-24T16:57:04.335Z
8u83fh,35,UNKNOWN,65,72,7,2.8328900141647417,2,6,0.486 -0.549 -0.758 -0.578 -0.34 0.536 -0.489 -0.461,2026-02-24T16:57:14.026Z
8u83fh,36,UNKNOWN,35,35,0,0,0,2,-0.196 -0.786 0.068 -0.363 0.058 0.286 -0.958,2026-02-24T16:57:26.351Z
8u83fh,37,UNKNOWN,49,59,10,3.3398500028846247,6,4,0.691 0.764 0.244 0.071 0.308 0.622 0.15,2026-02-24T16:57:37.492Z
8u83fh,38,UNKNOWN,71,79,8,3.0223678130284544,3,0,0.833 0.082 0.435 0.59 0.641 0.303 0.052 0.459,2026-02-24T16:57:50.428Z
8u83fh,39,UNKNOWN,96,95,1,0.16992500144231237,5,6,0.411 0.115 0.715 0.658 0.703 0.863 0.832 0.75 0.567 0.387,2026-02-24T16:57:59.248Z
8u83fh,40,UNKNOWN,59,80,21,4.400879436282184,4,2,0.423 0.747 0.975 0.1 0.573,2026-02-24T16:58:06.276Z
8u83fh,41,UNKNOWN,84,90,6,2.6147098441152083,6,3,0.12 0.436 0.552 0.73 0.982 0.667 0.867 0.964,2026-02-24T16:58:19.133Z
8u83fh,42,UNKNOWN,33,37,4,2.0443941193584534,1,4,-0.62 0.228 0.083 -0.928 -0.682 -0.153,2026-02-24T16:58:25.858Z
8u83fh,43,UNKNOWN,75,74,1,0.16992500144231237,2,1,0.806 0.585 0.781 0.108 0.283 0.818,2026-02-24T16:58:34.404Z
8u83fh,44,UNKNOWN,70,81,11,3.4757334309663976,0,1,0.136 0.193 0.117 0.909 0.688 0.194,2026-02-24T16:58:44.426Z
8u83fh,45,UNKNOWN,91,90,1,0.16992500144231237,0,4,-0.531 -0.58 0.946 0.145 -0.481,2026-02-24T16:58:54.631Z
8u83fh,46,UNKNOWN,15,15,0,0,4,2,0.685 0.233 0.084 0.139 0.562 0.115 0.932 0.847 0.506,2026-02-24T16:59:03.232Z
8u83fh,47,UNKNOWN,7,6,1,0.16992500144231237,5,4,0.611 0.982 0.537 0.638 0.066 0.957 0.833 0.835 0.792 0.481,2026-02-24T16:59:14.589Z
8u83fh,48,UNKNOWN,99,92,7,2.8328900141647417,0,5,-0.373 -0.394 -0.463 -0.95 -0.832 -0.368 0.315 0.371,2026-02-24T16:59:24.734Z
8u83fh,49,UNKNOWN,60,73,13,3.7142455176661224,3,6,0.665 0.253 0.361 0.577 0.796 0.087 0.968,2026-02-24T16:59:31.589Z
8u83fh,50,UNKNOWN,19,20,1,0.16992500144231237,0,6,0.758 0.785 0.791 0.07 0.932 0.456 0.146 0.179,2026-02-24T16:59:41.160Z
8u83fh,51,UNKNOWN,24,24,0,0,1,4,-0.203 -0.544 -0.847 0.611 -0.132 0.339 -0.759,2026-02-24T16:59:56.121Z
8u83fh,52,UNKNOWN,55,61,6,2.6147098441152083,1,4,0.621 0.976 0.808 0.662 0.534,2026-02-24T17:00:05.264Z
8u83fh,53,UNKNOWN,48,46,2,1.0874628412503393,9,5,0.68 0.496 0.448 0.475 0.089 0.418 0.576 0.286 0.989 0.867,2026-02-24T17:00:15.390Z
8u83fh,54,UNKNOWN,41,54,13,3.7142455176661224,3,5,0.063 0.653 0.166 0.08 0.804 0.193 0.817,2026-02-24T17:00:25.990Z
8u83fh,55,UNKNOWN,90,91,1,0.16992500144231237,5,1,0.909 0.566 0.763 0.821 0.925 0.63 0.797,2026-02-24T17:00:36.063Z
8u83fh,56,UNKNOWN,28,31,3,1.6438561897747248,4,2,-0.834 -0.792 0.529 -0.6 -0.147 0.372,2026-02-24T17:00:45.466Z
8u83fh,57,UNKNOWN,77,72,5,2.357552004618084,4,1,0.126 0.76 0.777 0.688 0.987 0.59,2026-02-24T17:00:55.803Z
